__id__,__filename__,text,__id__,__filename__
30,Cartoon Corner: Lets Talk Turkey,T E A C H E R S   O F,30,Cartoon Corner: Lets Talk Turkey
31,Cartoon Corner: Lets Talk Turkey,I C S   •   W W W . N C T M . O R G,31,Cartoon Corner: Lets Talk Turkey
32,Cartoon Corner: Lets Talk Turkey,I C S   •   W W W . N C T M . O R G,32,Cartoon Corner: Lets Talk Turkey
33,Cartoon Corner: Lets Talk Turkey,I C S   •   W W W . N C T M . O R G,33,Cartoon Corner: Lets Talk Turkey
34,Cartoon Corner: Lets Talk Turkey,I C S   •   W W W . N C T M . O R G m a t h e m a t m a t h e m a t m a t h e m a t m a t h e m a t m a t h e m a t m a t h e m a t m a t h e m a t m a t h e m a t m a t h e m a t t e a c h i n g  i n   i c s i c s i c s i c s i c s i c s i c s i c s i c s,34,Cartoon Corner: Lets Talk Turkey
35,Cartoon Corner: Lets Talk Turkey,M I D D L E   S C H O O L t h e,35,Cartoon Corner: Lets Talk Turkey
36,Cartoon Corner: Lets Talk Turkey,N A T,36,Cartoon Corner: Lets Talk Turkey
37,Cartoon Corner: Lets Talk Turkey,N A T,37,Cartoon Corner: Lets Talk Turkey
38,Cartoon Corner: Lets Talk Turkey,N A T,38,Cartoon Corner: Lets Talk Turkey
39,Cartoon Corner: Lets Talk Turkey,N A T,39,Cartoon Corner: Lets Talk Turkey
40,Cartoon Corner: Lets Talk Turkey,A P R I L   2 0 1 3 1 3 1 6 1 8,40,Cartoon Corner: Lets Talk Turkey
41,Cartoon Corner: Lets Talk Turkey,F r a m i n g,41,Cartoon Corner: Lets Talk Turkey
42,Cartoon Corner: Lets Talk Turkey,M a t hM a t h ¼ + = % < - > ÷ x ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y2 $ ¼ + = % < - >  $ ¼ + = % < - >  $ ¼ + = % < - > ÷ x3 (a+b) × ½  (a+b) × ½ ± µ ¾ ¢ 90° y ± µ ¾ ¢ 90° y2 $ ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y2 $  $ p . 4 7 4  $ ¼ + = % < - > ¼ + = % < - > ÷ x ¼ + = % < - > ÷ x  $ ¼ + = % < - >  $ ¼ + = % < - >  (a+b) × ½ ± µ ¾ ¢ 90° y2 $ ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y  $ ± µ ¾ ¢ 90° y  $ ¼ + = % < - > ¼ + = % < - > ÷ x ¼ + = % < - > ÷ x  $ ¼ + = % < - >  $ ¼ + = % < - >  $ ¼ + = % < - >  $ ¼ + = % < - >  $ ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y  $ ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y  $ ¼ + = % < - > ÷ x  $ ¼ + = % < - > ÷ x3 (a+b) × ½  (a+b) × ½   (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y •   S W E E T E N I N G   F R A C T I O N S   p . 4 8 4 •   D R A W I N G   O N   W R I T I N G   p . 4 9 2,42,Cartoon Corner: Lets Talk Turkey
43,Cartoon Corner: Lets Talk Turkey,Check out www.nctm.org/middle for: • Lessons and activities ¼ + = % < - > ÷ x ¼ + = % < - > ÷ x ¼ + = % < - > ÷ x ¼ + = % < - > ÷ x ¼ + = % < - > ÷ x3 (a+b) × ½ ± µ ¾ ¢ 90° y2 $ ¼ + = % < - > ÷ x ¼ + = % < - > ÷ x ¼ + = % < - > ÷ x  $ ¼ + = % < - > ÷ x3 (a+b) ×  (a+b) × • Problems database ½ ± µ ¾ ¢ 90° y2 $ ¼ + = % < - > ÷ x ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y2 $ ¼ + = %  (a+b) × ½ ± µ ¾ ¢ 90° y  $ ¼ + = % < - > ÷ x3 (a+b) × ½ ± µ ¾ ¢ 90° y  $ ¼ + = % < - > ÷ x ½ ± µ ¾ ¢ 90° y ½ ± µ ¾ ¢ 90° y ½ ± µ ¾ ¢ 90° y ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y • Core math tools < - > ÷ x3 (a+b) × ½ ± µ ¾ ¢ 90° y < - > ÷ x  $ ¼ + = % < - > ÷ x3 (a+b) × ½ ± µ ¾  (a+b) × ½ ± µ ¾ ¢ 90° y < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y2 $ ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y2 $ ¼ + = % < - > ÷  (a+b) × ½ ± µ ¾ ¢ 90° y  $ ¼ + = % < - > ÷ x3 (a+b) × ½ ± µ ¾ ¢ 90° y  $ ¼ + = % < - > ÷ x ¢ 90° y2 $ ¼ + = % < - > ÷ x ¢ 90° y ¢ 90° y  $ ¼ + = % < - > ÷ • Online articles  $ ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y2 $ ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y  $ ¼ + = % < - > ÷ x3 (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y2 x3 • Topic resources $ ¼ + = % < - > ÷ x  $ ¼ + = % < - > ÷ x3 (a+b)  (a+b) × ½ ± µ ¾ ¢ 90° y $ ¼ + = % < - > ÷ x3 (a+b) × ½ ± µ ¾ ¢ 90° y $ ¼ + = % < - > ÷ x $ ¼ + = % < - > ÷ x $ ¼ + = % < - > ÷ x $ ¼ + = % < - > ÷ x $ ¼ + = % < - > ÷ x $ ¼ + = % < - > ÷ x $ ¼ + = % < - > ÷ x $ ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y2 $ ¼ + = % < - > ÷ x × ½ ± µ ¾ ¢ 90° y  $ ¼ + = % < - > ÷ x × ½ ± µ ¾ ¢ 90° y2 $ ¼ + = % < - > ÷ x × ½ ± µ ¾ ¢ 90° y × ½ ± µ ¾ ¢ 90° y × ½ ± µ ¾ ¢ 90° y × ½ ± µ ¾ ¢ 90° y  $ ¼ + = % < - > ÷ x3 (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y2 $ ¼ + =  $ ¼ + = % < - > ÷ x3 (a+b) × ½ ± µ  (a+b) × ½ ± µ ¾ ¢ 90° y % < - > ÷ x3 (a+b) × ½ ± µ ¾ ¢ 90° y % < - > ÷ x % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y2 $ ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y ¾ ¢ 90° y2 $ ¼ + = % < - > ÷ x3 (a+b) × ½ ± µ ¾ ¢ 90° y ¾ ¢ 90° y ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y  (a+b) × ½ ± µ ¾ ¢ 90° y2 $ ¼ + = % < - > ÷ x3 (a+b) × ½ ± µ ¾ ¢ 90° y  $ ¼ + = % < - > ÷ x33 (a+b) × ½ ± µ ¾ ¢ 90°  $ ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° y2 $ ¼ + = % < - > ÷ x  $ ¼ + = % < - > ÷ x  (a+b) × ½ ± µ ¾ ¢ 90° ,43,Cartoon Corner: Lets Talk Turkey
44,Cartoon Corner: Lets Talk Turkey,Field-test coMMents,44,Cartoon Corner: Lets Talk Turkey
45,Cartoon Corner: Lets Talk Turkey,"The sixth-grade prealgebra students enjoyed talking turkey. Most students easily calculated that seven people could be fed with a nine-pound turkey. However, a few students did not read carefully and misinterpreted that there were nine people and then looked for pounds. Similarly, for the second part of the question, several students calculated the size of the turkey for the four guests. I asked them, “Does Dagwood eat?” One student answered, “Yes, and you better plan for his wife and leftovers.” ",45,Cartoon Corner: Lets Talk Turkey
46,Cartoon Corner: Lets Talk Turkey,"The second and third series of  questions related to calories in food and correlated well with the life science topics that these students see daily. They had many strategies to solve the proportional relationships. The most confusing part was 2b,  because they wanted to use proportions and solve 114/186 rather than realizing that 1.63 times as great meant 63 percent more calories.",46,Cartoon Corner: Lets Talk Turkey
47,Cartoon Corner: Lets Talk Turkey,"The fi nal set of questions confused students. After they realized that they were being asked to calculate the total grams or mg of fat, cholesterol, and sodium, the proportional relationships were easy to establish. ",47,Cartoon Corner: Lets Talk Turkey
48,Cartoon Corner: Lets Talk Turkey,Judy Kraus,48,Cartoon Corner: Lets Talk Turkey
49,Cartoon Corner: Lets Talk Turkey,Hyde Park Middle School,49,Cartoon Corner: Lets Talk Turkey
50,Cartoon Corner: Lets Talk Turkey,"Las Vegas, Nevada",50,Cartoon Corner: Lets Talk Turkey
51,Cartoon Corner: Lets Talk Turkey,"Because no unit conversions were necessary, this activity was accessible to my Canadian students––despite using customary measures. I appreciated that the questions did not rely on an understanding of customary measures. We did, however, spend time exploring conversions between customary and metric units anyway.",51,Cartoon Corner: Lets Talk Turkey
52,Cartoon Corner: Lets Talk Turkey,We want to hear from you! ,52,Cartoon Corner: Lets Talk Turkey
53,Cartoon Corner: Lets Talk Turkey,E-mail letters to mtms@nctm.org and type Readers Write in the subject line.,53,Cartoon Corner: Lets Talk Turkey
54,Cartoon Corner: Lets Talk Turkey,"Our students enjoyed the activity, particularly designing their plates from the “Other Ideas” section. Most students solved the problems using rates and ratios, as that was the unit of instruction we most recently completed.",54,Cartoon Corner: Lets Talk Turkey
55,Cartoon Corner: Lets Talk Turkey,The activity was perfectly aligned  with our Grade 8 curriculum.,55,Cartoon Corner: Lets Talk Turkey
56,Cartoon Corner: Lets Talk Turkey,Miles MacFarlane,56,Cartoon Corner: Lets Talk Turkey
57,Cartoon Corner: Lets Talk Turkey,Leila North Community School,57,Cartoon Corner: Lets Talk Turkey
58,Cartoon Corner: Lets Talk Turkey,"Winnipeg, Manitoba",58,Cartoon Corner: Lets Talk Turkey
59,Cartoon Corner: Lets Talk Turkey,"I teach grades 6–8 high-level math groups. This Cartoon Corner worked very well with my seventhgrade prealgebra class. We had just fi nished a unit on proportions, so the students were able to reason out the answers without intervention.",59,Cartoon Corner: Lets Talk Turkey
60,Cartoon Corner: Lets Talk Turkey,"I liked this activity’s real-world examples. The questions were very clearly written and did not require any additional prompting from me. I also appreciated the fact that the activity covered topics from the seventh-grade and eighth-grade science curriculum. The hardest question was 2b. The students wanted to say 163 percent, versus 63 percent, but they understood why they were incorrect.",60,Cartoon Corner: Lets Talk Turkey
61,Cartoon Corner: Lets Talk Turkey,Machele Lynch,61,Cartoon Corner: Lets Talk Turkey
62,Cartoon Corner: Lets Talk Turkey,St. Patrick School,62,Cartoon Corner: Lets Talk Turkey
63,Cartoon Corner: Lets Talk Turkey,"Carlisle, Pennsylvania otheR ideas •  Have students make a circle graph to represent how much of the Thanksgiving dinner plate would be used by each type of food.  •  Ask students to bring in  nutrition labels from their favorite snacks or other types of food. Have them ﬁ nd the total DV for various nutrients. Students may also be encouraged to write their own problems from the nutrition labels.",63,Cartoon Corner: Lets Talk Turkey
